postcode,instals,estimated_dwellings,density,capacity,capunder10,cap10_100,capover100,countunder10,count10_100,countover100,pot_kw,pot_sqm,pot_gwh
"2110","296","2838","9.9","1281","1075","207","0","280","16","0","40698","260,466","52.4"
"2111","476","4038","11.1","2108","1643","464","0","448","28","0","58567","374,831","75.7"
"2112","913","8175","10.8","3692","2828","564","300","879","33","1","110888","709,680","142.7"
"2113","647","5129","12.0","4041","2047","1263","731","614","30","3","115638","740,082","148.8"
"2114","655","5118","12.4","2355","1932","424","0","635","20","0","85572","547,658","110.8"
"2115","386","3861","9.7","1480","1256","225","0","376","10","0","40581","259,721","52.4"
"2116","246","2468","8.5","2608","646","1162","800","209","36","1","68152","436,175","89.7"
"2117","702","7309","9.1","2729","2128","601","0","663","39","0","65214","417,369","83.9"
"2118","1186","6700","17.3","3571","3292","279","0","1162","24","0","89403","572,181","115"
"2119","511","3731","13.2","1990","1747","242","0","492","19","0","44517","284,909","57.3"
"2120","876","6771","12.4","3696","2793","903","0","842","34","0","87458","559,734","112.9"
"2121","1075","7352","14.3","3589","3199","390","0","1049","26","0","98088","627,764","126.2"
"2122","1084","9449","11.2","3481","2897","583","0","1054","30","0","100212","641,354","129"
"2125","1117","5386","20.0","4103","3551","553","0","1075","42","0","75949","486,074","97.7"
"2126","1231","5911","20.5","4126","3651","476","0","1211","20","0","74935","479,583","96.4"
"2127","59","1153","3.6","1447","138","1047","262","41","16","2","55536","355,428","71.3"
"2128","111","565","11.7","2089","254","1439","396","66","43","2","77746","497,576","103.1"
"2130","126","1170","10.1","577","379","198","0","118","8","0","22315","142,817","28.8"
"2131","388","3044","11.9","1678","1037","641","0","361","27","0","58298","373,106","75.1"
"2132","316","2784","10.8","1254","893","361","0","302","14","0","39496","252,775","50.9"
"2133","297","3194","9.0","1083","892","191","0","286","11","0","36563","234,003","47.1"
"2134","262","2240","11.2","1043","731","312","0","250","12","0","43842","280,591","56.4"
"2135","648","4684","12.9","3100","2102","998","0","603","45","0","81996","524,771","105.7"
"2136","229","2000","10.3","1518","630","667","221","206","22","1","48260","308,863","63.1"
"2137","683","6008","10.9","2829","2243","586","0","652","31","0","91310","584,384","117.7"
"2138","317","2424","12.0","2323","935","959","429","291","25","1","54229","347,064","70"
"2140","161","1213","12.0","5051","443","335","4273","146","11","4","63818","408,436","82.8"
"2141","1064","6932","14.8","3909","2845","894","170","1028","35","1","141278","904,181","182.9"
"2142","620","5325","10.9","2635","1743","892","0","582","38","0","150307","961,964","196.3"
"2143","401","2426","15.7","1732","1144","588","0","380","21","0","55944","358,041","72.9"
"2144","907","6542","13.0","4264","2517","1748","0","850","57","0","146761","939,271","190.4"
"2145","3333","21371","15.1","12850","9356","3043","451","3235","97","1","361482","2,313,488","468.8"
"2146","982","5710","16.8","3809","2774","500","535","957","24","1","66047","422,704","85.1"
"2147","2443","13211","17.9","9413","7151","1952","311","2367","74","2","217098","1,389,429","281.8"
"2148","3588","19689","17.5","15357","10078","4527","751","3449","137","2","417923","2,674,710","543.2"
"2150","210","2318","7.8","1246","559","686","0","180","30","0","80409","514,619","103.5"
"2151","682","4913","13.1","2870","2033","837","0","644","38","0","92158","589,813","119.1"
"2152","450","3243","13.3","1764","1359","405","0","432","18","0","55812","357,196","72.4"
"2153","3821","17931","20.5","14400","11666","2280","454","3684","136","1","271214","1,735,770","349.2"
"2154","2254","11972","18.1","8768","7144","1624","0","2167","87","0","218704","1,399,707","282.5"
"2155","4831","18139","25.2","21251","16800","4100","350","4578","252","1","269226","1,723,049","346.7"
"2156","1142","4233","23.0","5857","3335","2523","0","975","167","0","127171","813,897","163.3"
"2157","296","1192","20.9","1933","943","989","0","249","47","0","62897","402,539","81.5"
"2158","468","2813","13.9","3001","1549","1452","0","390","78","0","88279","564,984","113.6"
"2159","371","1628","19.1","2249","1242","1006","0","311","60","0","66315","424,414","85.2"
"2160","991","8667","11.0","4876","3041","726","1109","953","37","1","118222","756,624","152.2"
"2161","1081","8331","12.2","5055","3249","1806","0","1019","62","0","180698","1,156,468","235.8"
"2162","767","5618","13.0","3387","2238","1149","0","731","36","0","88474","566,234","114.7"
"2163","319","2201","13.4","1722","836","886","0","296","23","0","79940","511,614","104.9"
"2164","1353","6135","18.5","15276","3649","7665","3962","1137","208","8","411235","2,631,902","542.4"
"2165","1841","10309","17.3","7133","5040","1854","240","1787","53","1","169617","1,085,548","219.3"
"2166","2382","12798","18.2","8255","6537","1718","0","2323","59","0","185851","1,189,448","239.4"
"2167","691","3517","19.3","2401","2228","173","0","680","11","0","38476","246,244","49.4"
"2168","2305","12654","18.0","7294","6613","681","0","2279","26","0","155010","992,067","199.5"
"2170","5553","28371","18.7","27415","16708","7482","3225","5299","248","6","640310","4,097,986","833.8"
"2171","2292","11482","19.2","9183","7976","1207","0","2203","89","0","160246","1,025,577","208.1"
"2172","236","987","23.4","962","906","56","0","231","5","0","14192","90,828","18.3"
"2173","893","4487","19.6","2710","2567","143","0","880","13","0","84951","543,683","110.5"
"2174","491","944","49.6","2946","2494","452","0","468","23","0","16004","102,425","20.7"
"2175","152","586","16.0","2619","423","1447","749","94","56","2","53018","339,316","68.9"
"2176","2993","14317","20.3","10738","9208","1530","0","2911","82","0","205304","1,313,948","264.3"
"2177","958","4727","19.8","3292","2795","498","0","937","21","0","64073","410,064","82.4"
"2178","270","1252","16.0","2240","773","1467","0","200","70","0","97505","624,029","125.9"
"2179","425","2346","16.5","2635","1891","744","0","386","39","0","109710","702,143","142.2"
